white,black,result,label,num_moves,checks,captures,avg_legal_moves,check_ratio,capture_ratio
nadistarchess,Fire_exe432,0-1,Human vs Engine (mixed),70,14,19,30.87142857142857,0.2,0.2714285714285714
La_gota,GameEngine,0-1,Human vs Engine (mixed),48,1,15,34.375,0.020833333333333332,0.3125
ivan_bembot,Trufaux,0-1,Human vs Engine (mixed),68,6,22,28.852941176470587,0.08823529411764706,0.3235294117647059
mautlier,mochi_bot,0-1,Human vs Engine (mixed),14,1,3,27.928571428571427,0.07142857142857142,0.21428571428571427
FinnMac,thifirel,1-0,Human vs Engine (mixed),55,1,17,31.381818181818183,0.01818181818181818,0.3090909090909091
Jodajoda,bottery,0-1,Human vs Engine (mixed),52,0,15,31.73076923076923,0.0,0.28846153846153844
luisjoFIRE,oos_mammad,1-0,Human vs Engine (mixed),181,13,29,19.795580110497237,0.0718232044198895,0.16022099447513813
boti,ELHAMIDI,0-1,Human vs Engine (mixed),76,6,17,36.46052631578947,0.07894736842105263,0.2236842105263158
kadenbot2300,actonchess,1-0,Human vs Engine (mixed),75,3,21,26.36,0.04,0.28
awsy2013hellfire,Alfred345690,0-1,Human vs Engine (mixed),82,2,25,21.902439024390244,0.024390243902439025,0.3048780487804878
robotkarel,stirnermax,0-1,Human vs Engine (mixed),66,3,14,34.86363636363637,0.045454545454545456,0.21212121212121213
mrrobote,arkonsr,0-1,Human vs Engine (mixed),46,3,15,33.0,0.06521739130434782,0.32608695652173914
Layvender,BiIboTeaBaggins,0-1,Human vs Engine (mixed),66,2,16,31.53030303030303,0.030303030303030304,0.24242424242424243
OliThink-5,daniel_chessbot,0-1,Human vs Engine (mixed),160,12,28,22.56875,0.075,0.175
GameEngine,Oswaldoe,1-0,Human vs Engine (mixed),93,13,22,20.333333333333332,0.13978494623655913,0.23655913978494625
strain-on-veins,tomahawkBOT,1-0,Human vs Engine (mixed),159,21,29,25.729559748427672,0.1320754716981132,0.18238993710691823
BOT-Feline,Alexandrya,1/2-1/2,Human vs Engine (mixed),110,5,21,33.90909090909091,0.045454545454545456,0.19090909090909092
chafi8dc,bobotafour,1-0,Human vs Engine (mixed),33,0,8,30.21212121212121,0.0,0.24242424242424243
GNUPassant,m8-bot,1-0,Human vs Engine (mixed),107,8,22,25.738317757009344,0.07476635514018691,0.205607476635514
awsy2013hellfire,DespertandoalAjedrez,1-0,Human vs Engine (mixed),77,3,13,30.961038961038962,0.03896103896103896,0.16883116883116883
Boosted_Maia_1700,gekkammi-bot,0-1,Human vs Engine (mixed),74,6,18,31.08108108108108,0.08108108108108109,0.24324324324324326
edison_le,BobotovKuk3600,0-1,Human vs Engine (mixed),83,5,24,29.819277108433734,0.060240963855421686,0.2891566265060241
Bottlenthsmoke,Kaspar0ck,0-1,Human vs Engine (mixed),72,9,18,32.97222222222222,0.125,0.25
UCanRemember10,thifirel,1-0,Human vs Engine (mixed),39,3,14,31.897435897435898,0.07692307692307693,0.358974358974359
